"Time","Effect","FINAL TIME","INITIAL TIME","Input noise","K","L1","L2","O","Perception","Reality","SAVEPER","seed","st dev 1","st dev 2","TIME STEP"
47,0.586372,,,1.04124,,,,,0.656428,-1.04116,,,,,
48,0.874603,,,0.97319,,,,,0.609583,-0.969458,,,,,
49,0.77999,,,1.29057,,,,,0.561313,-1.26793,,,,,
50,0.687801,,,1.32527,,,,,0.511754,-1.27084,,,,,
51,0.73998,,,1.20118,,,,,0.461161,-1.11207,,,,,
52,0.415969,,,1.25409,,,,,0.409502,-1.10793,,,,,
53,0.3897,,,1.3109,,,,,0.356832,-1.09102,,,,,
54,0.310124,,,1.10948,,,,,0.303431,-0.85737,,,,,
55,0.212801,,,1.08614,,,,,0.249581,-0.766314,,,,,
56,-0.253359,,,1.11458,,,,,0.195571,-0.703596,,,,,
57,0.304951,,,1.17825,,,,,0.141903,-0.648844,,,,,
58,0.519439,,,1.16622,,,,,0.0890795,-0.541828,,,,,
59,0.246571,,,1.11404,,,,,0.0375577,-0.416512,,,,,
60,-0.060228,,,1.19916,,,,,-0.0122589,-0.335065,,,,,
61,-0.279297,,,1.14961,,,,,-0.0599671,-0.209417,,,,,
62,0.271958,,,0.978466,,,,,-0.105159,-0.0813002,,,,,
63,-0.182222,,,0.750292,,,,,-0.232125,0.0126153,,,,,
64,-0.166105,,,0.87254,,,,,-0.330154,0.101694,,,,,
65,0.0998189,,,0.974976,,,,,-0.390365,0.209737,,,,,
66,-0.712166,,,1.22713,,,,,-0.413718,0.382303,,,,,
67,-0.357297,,,1.24535,,,,,-0.405468,0.50418,,,,,
68,-0.586793,,,1.37052,,,,,-0.37155,0.677193,,,,,
69,-0.150929,,,1.49347,,,,,-0.3158,0.863882,,,,,
70,-0.600426,,,1.37994,,,,,-0.242464,0.906603,,,,,
71,-0.211959,,,1.24307,,,,,-0.154106,0.906161,,,,,
72,-0.187456,,,1.23782,,,,,-0.0521952,0.982415,,,,,
73,0.110696,,,1.03877,,,,,0.0582391,0.883411,,,,,
74,0.121617,,,1.0526,,,,,0.170637,0.945978,,,,,
75,0.425091,,,1.13891,,,,,0.281349,1.06829,,,,,
76,-0.0425585,,,0.957575,,,,,0.383824,0.926855,,,,,
77,0.159687,,,0.974688,,,,,0.476517,0.963155,,,,,
78,0.411813,,,0.993384,,,,,0.561812,0.991936,,,,,
79,0.630885,,,1.09901,,,,,0.636001,1.09784,,,,,
80,0.779751,,,1.19553,,,,,0.69919,1.18281,,,,,
81,0.403468,,,1.19697,,,,,0.75286,1.16093,,,,,
82,1.21273,,,0.91286,,,,,0.800988,0.858755,,,,,
83,0.834482,,,1.13503,,,,,0.847128,1.02399,,,,,
84,1.29298,,,1.39873,,,,,0.891093,1.19536,,,,,
85,0.840569,,,1.56866,,,,,0.923941,1.25255,,,,,
86,0.982432,,,1.51257,,,,,0.948584,1.11083,,,,,
87,0.89342,,,1.22097,,,,,0.971751,0.809466,,,,,
88,0.752551,,,1.23621,,,,,0.980164,0.723079,,,,,
89,1.34408,,,1.16912,,,,,0.988392,0.585756,,,,,
90,0.30945,,,1.0142,,,,,0.996075,0.417971,,,,,
91,0.735988,,,0.672428,,,,,1.00287,0.214571,,,,,
92,1.25153,,,0.588512,,,,,1.00842,0.131173,,,,,
93,0.997083,,,0.716332,,,,,1.01231,0.0891507,,,,,
94,0.392129,,,0.741904,,,,,1.01408,0.018381,,,,,
95,1.22215,,,0.731324,,,,,1.01337,-0.0549598,,,,,
96,1.20566,,,0.732233,,,,,1.00996,-0.127648,,,,,
97,0.937967,,,0.866006,,,,,1.00368,-0.235346,,,,,
98,1.01412,,,0.738497,,,,,0.994418,-0.270644,,,,,
99,0.981076,,,0.713392,,,,,0.982128,-0.326402,,,,,
100,0.879693,,,0.63034,,,,,0.966753,-0.342918,,,,,
