Simulation,D1,D2,K,O,best_delay1,best_mse,best_k,best_mae,best_r2,best_aic,best_bic,k_lower_limit,k_upper_limit,abs_error_delay1,abs_error_k
60,33.85860715666786,11.464755870285444,4.849707674002274,1.052374936174601,11.0,1.5202476905277649,1.9818509406214289,1.046821936747046,0.5591021705030941,330.9317845709369,333.54690508777816,1.6326866579939825,2.3310152232488752,22.85860715666786,2.867856733380845
61,40.82597516989336,40.81064589379821,-0.4886699991766363,2.403342211153358,23.0,0.059452497856276126,-0.159144366758365,0.19297986816840101,0.149364872547171,3.545242002440034,6.160362519281294,-0.2344927822564276,-0.08379595126030236,17.82597516989336,0.32952563241827126
62,21.15561128454283,87.54754466481971,-2.6359667407814413,4.0642141248099515,76.0,1.3326121812943894,-1.6053314978026745,0.9400167669032472,0.2091272984010063,317.626830979733,320.24195149657425,-2.224698536245782,-0.9859644593595668,54.84438871545717,1.0306352429787669
63,16.49006943264976,65.23167085985187,-1.4704181102570146,3.8759810836054394,80.0,0.5516877125626973,-1.4212873552483976,0.5972931290669696,0.2725171877982875,228.55349748580912,231.1686180026504,-1.8820017106357023,-0.9605729998610928,63.50993056735024,0.04913075500861708
64,9.91780567029491,45.84811686736066,0.4897954396437853,3.5087886373512447,75.0,0.1180980712761186,0.37198350580430223,0.27519614463570274,0.14346298287859816,72.86535510117909,75.48047561802035,0.19165588344336237,0.5523111281652421,65.08219432970509,0.11781193383948307
65,27.356018657330424,52.08123722241726,4.3057986872736365,1.2081824638880787,11.0,0.6875645905616461,1.3083753195794046,0.7382367703944235,0.5499581718746018,250.79103380873948,253.40615432558076,1.0735583998824882,1.5431922392763209,16.356018657330424,2.997423367694232
66,42.62980582611635,12.096850183908828,3.372278915485367,4.022519440855831,63.0,2.074855091916355,-3.1149507634138,1.0472464806468937,0.4274250345114332,362.34460662567045,364.9597271425117,-3.830225390559474,-2.399676136268126,20.370194173883647,6.487229678899167
67,33.89071937976405,85.45941764453892,-0.6208553409669548,1.2489212430082262,76.0,0.06909396007621722,-0.4775162425139677,0.20986422809051597,0.3109375947231602,18.724499699143678,21.339620215984937,-0.6185477805713911,-0.3364847044565442,42.10928062023595,0.14333909845298715
68,14.478765456471592,35.14876520901453,4.1520708601456136,1.438888322096318,11.0,1.0979662528621634,1.929586610440938,0.9480235104381552,0.6246850008601629,298.0650040665401,300.68012458338137,1.632852733131477,2.226320487750399,3.478765456471592,2.2224842497046753
69,23.64902994362637,50.23125616402831,2.443210621131584,3.0969233443029225,25.0,0.5396042562522797,0.7362993848472638,0.6542133403555102,0.28049842186125395,226.3167377516387,228.93185826847997,0.5023399653148719,0.9702588043796556,1.3509700563736295,1.7069112362843204
70,18.440895148087293,29.75019415852148,2.954425484640524,4.446248284075409,21.0,0.475937588568376,1.7382842021825142,0.5849940787698151,0.7317342921928747,213.63626017752142,216.2513806943627,1.5294690098207149,1.9470993945443136,2.559104851912707,1.2161412824580096
71,42.77624483173713,18.742073516245,-3.123998976079747,2.2156422822736204,19.0,0.5547227464776305,-1.102535520042516,0.6183177052635828,0.4949766362982204,229.10761226624422,231.7227327830855,-1.3234841984447225,-0.8815868416403093,23.77624483173713,2.021463456037231
72,10.853436703328043,89.15468491858337,-0.100268175592646,4.436290557961911,78.0,0.05912855115762686,-0.2822961541747013,0.19565940131843046,0.14133067322844284,2.9934051241257293,5.608525640966989,-0.42034575514937067,-0.14424655320003185,67.14656329667196,0.18202797858205527
73,35.98911198461428,68.66283530567307,-0.916490367380902,1.8860977725125847,78.0,0.08953957162075665,-0.5025741926622379,0.24233176219249325,0.2562264140578031,44.90504805665876,47.520168573500015,-0.6724548931367489,-0.3326934921877269,42.01088801538572,0.41391617471866404
74,15.171897458378226,78.0047651847126,3.705341111635789,2.9219596958719194,75.0,3.2731674796334587,2.7638035710456177,1.4710952322217257,0.2501539591494921,408.3871582994394,411.0022788162807,1.8144566027489097,3.7131505393423256,59.828102541621774,0.9415375405901711
75,8.450132195372134,38.76416389655788,2.172487744828686,3.711318403016776,74.0,1.3689248040360016,2.354272907890306,0.9151593495483145,0.3709325141368085,320.3421710384424,322.9572915552837,1.7460070978283109,2.962538717952301,65.54986780462787,0.18178516306161985
76,30.690885791089386,61.970343599445194,3.4159844054374844,3.087585110682994,27.0,0.79439621670844,0.6325789216500098,0.7902165337616041,0.1559472175817752,265.37811790721713,267.9932384240584,0.3406036054248123,0.9245542378752074,3.6908857910893857,2.7834054837874747
77,21.939873461145908,32.807768800179474,2.600533236982301,4.813734285067767,25.0,0.3252818329911797,1.4948050002942987,0.48466768788653297,0.727183981884699,175.19619101334507,177.81131153018634,1.3131561070310245,1.676453893557573,3.0601265388540924,1.1057282366880021
78,7.439744091127069,88.87151748209726,2.529699938604608,1.6060304422862828,72.0,2.2839325394434757,2.6103013333975293,1.2849606471519253,0.30643232552536015,372.0413579837533,374.6564785005946,1.8311833806510163,3.3894192861440424,64.56025590887293,0.08060139479292117
79,40.91241443762556,2.678148154518567,-2.285903835436329,4.629410612862557,59.0,1.8677008759855185,1.8654910266336056,1.0304684782447504,0.26459296610847793,351.72111153926306,354.33623205610434,1.2484652037896433,2.482516849477568,18.087585562374443,4.151394862069934
80,13.525046351831406,42.929808517568745,2.3353611084166914,4.144142411183566,20.0,1.18444620818278,1.143590229810833,0.9617936578133377,0.32635359837605415,305.7223920863561,308.33751260319735,0.8176202062373541,1.4695602533843117,6.474953648168594,1.1917708786058585
81,27.76585368765518,37.88785379554611,-0.3843836078885942,1.1749144946224988,76.0,0.05992497241779969,-0.3297961819017133,0.1962240638093904,0.19883170077883927,4.344725854355204,6.9598463711964635,-0.4611371222388664,-0.19845524156456015,48.23414631234482,0.05458742598688093
82,3.249618083704263,30.590497092693116,1.189039059681818,2.82036353694275,70.0,0.5522442235666909,1.496570478041188,0.6082836022809506,0.37638375378790623,228.65532915554385,231.27044967238513,1.1143835024307889,1.878757453651587,66.75038191629574,0.30753141835937003
83,19.617128311190758,23.91954962199088,0.4218169546220451,2.7808208693750203,20.0,0.05980708164934341,0.21161119759147995,0.19207376894046796,0.2472800098936897,4.1458322238281085,6.760952740669368,0.1383631086321756,0.2848592865507843,0.38287168880924227,0.21020575703056515
84,20.65737035078928,23.40822958026547,-4.23354099621065,1.6244037677533925,17.0,0.2736619439793714,-2.19376741836757,0.40778124123166676,0.8901460293767228,157.74355044934248,160.35867096618375,-2.346665932615183,-2.0408689041199573,3.6573703507892787,2.0397735778430794
85,20.62658447911963,15.910171023686416,1.212800397770479,4.9503235830925405,17.0,0.09970857002447826,0.8816521485705688,0.25296212360002424,0.7822317177112164,55.76971530081531,58.384835817656565,0.7893605208949355,0.9739437762462022,3.6265844791196287,0.33114824919991026
86,28.47792462212965,12.943053645431064,0.6129995046649128,3.8361466112546623,17.0,0.11330718597835632,0.324862126248659,0.26956514010830496,0.30028838670695523,68.68266215734837,71.29778267418963,0.2264780554188764,0.42324619707844163,11.477924622129649,0.2881373784162538
87,6.759856487158686,18.086906289798208,3.713536217110232,2.067629419732839,10.0,1.1759963055656544,2.9103728844996666,0.9167545496733267,0.780279480661363,304.9992702098592,307.6143907267005,2.603968987903219,3.2167767810961143,3.240143512841314,0.8031633326105654
88,24.488107512239367,31.3941154187778,2.861589650856331,1.701839702669531,19.0,0.20747738966078602,1.0966166995393536,0.3668121866131196,0.7216349997474103,129.7795597227309,132.39468023957218,0.9614907345039554,1.2317426645747518,5.488107512239367,1.7649729513169774
89,1.1319704814814031,85.77157085074577,-4.906168220331892,2.490867639426142,70.0,10.371116701979487,-7.0926094914402285,2.813157115484344,0.41922365410144447,524.8670786362351,527.4821991530763,-8.74884866536635,-5.4363703175141085,68.8680295185186,2.186441271108336
90,9.590214191470295,11.936058036866598,3.9314255386125296,4.77177814161405,11.0,0.23039270812342622,3.6651145236488594,0.38301352587274523,0.9662361984782533,140.36061376480427,142.97573428164554,3.5291871266418,3.8010419206559187,1.4097858085297048,0.26631101496367027
91,10.199478717055172,17.7493935682578,4.072521167108789,2.1280689653940494,11.0,0.6695241622333777,2.9630602836402353,0.6811795721828947,0.865525603452767,248.10559322936612,250.7207137462074,2.731344422383538,3.1947761448969327,0.8005212829448283,1.1094608834685538
92,44.84927799971774,43.94745397416409,-4.323736993828788,1.6956016491167247,23.0,0.1725651398972741,-0.9432774135257558,0.33692777662668894,0.680029857989614,111.17055409621497,113.78567461305623,-1.0716480235307908,-0.8149068035207209,21.849277999717742,3.3804595803030324
93,33.88910349691287,6.437328006722964,-2.706202402478084,2.7096196305938065,56.0,1.6724236384822013,2.146404263436067,0.993046851014494,0.38465655887524297,340.56724304892475,343.182363565766,1.6078007620176384,2.685007764854496,22.110896503087133,4.852606665914151
94,24.005606947932392,63.65885637502652,1.115445006871596,1.8234419510699809,75.0,0.16152192114875777,0.43708610833364153,0.3239950361496566,0.14462638878054734,104.49102821014941,107.10614872699067,0.2261958155467756,0.6479764011205075,50.99439305206761,0.6783588985379545
95,20.75083901779726,51.264036211767234,1.2500501715112478,1.3557648588903248,11.0,0.1384136334542642,0.43083903910453936,0.31763490523222543,0.39694687963759945,88.89720167105037,91.51232218789163,0.3254823606928937,0.536195717516185,9.750839017797261,0.8192111324067084
96,21.598787299823016,5.57318256807048,-0.1637583400588482,4.097774809692055,49.0,0.05334067374981722,0.23249508778264802,0.1822879242427849,0.23276836108166366,-7.411085329521313,-4.795964812680054,0.14875170651700115,0.3162384690482949,27.401212700176984,0.3962534278414962
97,2.247930684592575,71.41534606472123,-3.685969406506047,2.4169305604882534,71.0,6.085938833142588,-5.371147594846264,2.1486898574030153,0.41343087012993474,471.0296648087541,473.64478532559536,-6.640437045672007,-4.101858144020522,68.75206931540743,1.6851781883402173
98,9.206256777513772,47.06137594988104,1.5368137008044869,2.714454797562212,74.0,0.6806784708156483,1.470736601522135,0.6524809132658839,0.3163785917365277,249.7743957767697,252.38951629361097,1.0418182611862423,1.8996549418580277,64.79374322248623,0.06607709928235184
99,7.747758197132498,16.88763011514675,-2.292510209372267,2.9293673918582495,12.0,0.42841336392591794,-1.9611438261925789,0.5491095255280168,0.8141326943326272,203.01124236909067,205.62636288593194,-2.1470521273043843,-1.7752355250807734,4.252241802867502,0.33136638317968825
100,43.394236841704696,16.771640204708092,-4.856063280021772,2.117001926060766,19.0,1.7679627595818077,-1.7241396426518532,1.0997612109700061,0.42923386808217356,346.1782016486186,348.79332216545987,-2.1185878415041968,-1.3296914437995098,24.394236841704696,3.1319236373699186
